node_u,node_v,label,common_neighbors,jaccard,adamic_adar,degree_u,degree_v,preferential_attachment,h_index_sum,h_index_diff,citations_sum,citations_diff,area_jaccard
16203173100,57195769948,1,12,0.21052631578947367,3.862685385333636,50,19,950,21,5,669,341,0.2222222222222222
35367031900,57195769948,1,13,0.65,4.173678904182268,14,19,266,26,10,1328,1000,0.30303030303030304
35378828900,57195769948,1,12,0.13793103448275862,3.8901026925502986,80,19,1520,51,35,7311,6983,0.10714285714285714
52964022200,57195769948,1,1,0.04,0.25831776680732876,7,19,133,19,3,759,431,0.3684210526315789
55966916000,57195769948,1,12,0.2727272727272727,3.8413697105601097,37,19,703,18,2,712,384,0.16981132075471697
57023536800,57195769948,1,12,0.6,3.7284363587176874,13,19,247,12,4,252,76,0.8
57188586315,57195769948,1,6,0.23076923076923078,2.500786014335462,13,19,247,20,4,555,227,0.3333333333333333
57195769948,57202072541,1,12,0.41379310344827586,3.794792150820295,19,22,418,15,1,291,37,0.5
57195769948,57210894280,1,6,0.2608695652173913,2.489309703112248,19,10,190,16,0,300,28,0.38461538461538464
57195769948,57214849928,1,12,0.48,3.772331347707774,19,18,342,13,3,234,94,0.4444444444444444
57195769948,57226357862,1,16,0.7619047619047619,5.712718327964801,19,18,342,13,3,274,54,0.6666666666666666
57195769948,57226432809,1,5,0.25,1.9865703767743015,19,6,114,11,5,222,106,0.36363636363636365
57195769948,57226446472,1,5,0.25,1.9865703767743015,19,6,114,13,3,222,106,0.4166666666666667
57195769948,58096458800,1,13,0.5416666666666666,4.162202592959054,19,18,342,14,2,292,36,0.7272727272727273
57195769948,58638120800,1,12,0.5714285714285714,3.7393844222790165,19,14,266,10,6,178,150,0.3
57195769948,58638569600,1,12,0.5714285714285714,3.7393844222790165,19,14,266,10,6,178,150,0.26666666666666666
57195769948,6603061539,1,1,0.034482758620689655,0.25831776680732876,19,11,209,36,20,3131,2803,0.16279069767441862
57195769948,7202534688,1,18,0.3673469387755102,6.731307551212663,19,48,912,51,35,6065,5737,0.21739130434782608
57195769948,7801532760,1,12,0.09917355371900827,3.9071678025235723,19,114,2166,42,26,3942,3614,0.11904761904761904
14032097800,57035379500,1,4,0.3333333333333333,1.675606449782714,10,6,60,25,11,1589,1109,0.24561403508771928
35546900100,57035379500,1,3,0.09375,1.3320283803496076,29,6,174,28,14,1550,1070,0.17857142857142858
57035379500,57191604670,1,5,0.25,2.680516886417694,6,19,114,23,9,1219,739,0.35294117647058826
57035379500,57196317229,1,2,0.2857142857142857,0.8205216188580964,6,3,18,14,0,636,156,0.3939393939393939
57035379500,57215150280,1,3,0.3333333333333333,1.0708919581717304,6,6,36,9,5,254,226,0.23333333333333334
57035379500,57218449304,1,3,0.2727272727272727,1.6841569804251977,6,8,48,13,1,357,123,0.32558139534883723
56910252000,6603018015,1,1,0.023809523809523808,0.33380820069533407,41,2,82,36,26,4228,4066,0.15789473684210525
57004538100,6603018015,1,1,0.047619047619047616,0.269282508064391,20,2,40,20,10,634,472,0.24324324324324326
57201989588,57202454953,1,1,0.25,0.3789231816899512,3,2,6,4,2,71,59,0.2
57202454953,6504710819,1,1,0.06666666666666667,0.9102392266268373,2,14,28,16,14,739,727,0.15151515151515152
16238022000,7101835153,1,13,0.18055555555555555,3.6414553152119615,43,42,1806,34,4,2416,994,0.3448275862068966
